epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.3835,1.29043,0.40519,1,1.37376,0.00327957,0.00327957,0.00327957
2,74.0662,0.83847,0.7039,1,1.28681,0.00660636,0.00660636,0.00660636
3,108.523,0.77846,0.71169,1,1.19392,0.00992654,0.00992654,0.00992654
4,143.583,0.73759,0.56623,1,1.27167,0.0099703,0.0099703,0.0099703
5,178.747,0.7522,0.40779,1,1.51059,0.0099604,0.0099604,0.0099604
6,209.444,0.6425,0.63377,1,1.27254,0.0099505,0.0099505,0.0099505
7,244.293,0.55414,0.53506,1,1.38003,0.0099406,0.0099406,0.0099406
8,279.631,0.59334,0.44416,1,1.3895,0.0099307,0.0099307,0.0099307
9,314.01,0.59204,0.55844,1,1.40527,0.0099208,0.0099208,0.0099208
10,345.884,0.62087,0.74026,1,1.23854,0.0099109,0.0099109,0.0099109
11,379.603,0.51343,0.67013,1,1.25751,0.009901,0.009901,0.009901
12,414.134,0.50408,0.71429,1,1.17909,0.0098911,0.0098911,0.0098911
13,447.683,0.44489,0.87013,1,1.05803,0.0098812,0.0098812,0.0098812
14,479.037,0.46756,0.92727,1,0.98558,0.0098713,0.0098713,0.0098713
15,514.808,0.49117,0.86753,1,1.07238,0.0098614,0.0098614,0.0098614
16,548.912,0.43581,0.92987,1,1.00969,0.0098515,0.0098515,0.0098515
17,586.959,0.43826,0.87273,1,1.11809,0.0098416,0.0098416,0.0098416
18,619.18,0.36603,0.92727,1,0.99219,0.0098317,0.0098317,0.0098317
19,655.038,0.3874,0.83896,1,1.06412,0.0098218,0.0098218,0.0098218
20,688.857,0.36131,0.87792,1,1.09014,0.0098119,0.0098119,0.0098119
21,724.722,0.33594,0.91948,1,0.98381,0.009802,0.009802,0.009802
22,755.347,0.28341,0.88052,1,1.02126,0.0097921,0.0097921,0.0097921
23,789.749,0.30997,0.81818,1,1.1013,0.0097822,0.0097822,0.0097822
24,825.219,0.22447,0.9039,1,0.99294,0.0097723,0.0097723,0.0097723
25,861.255,0.28734,0.97403,1,0.94745,0.0097624,0.0097624,0.0097624
26,892.859,0.293,0.9013,1,1.00454,0.0097525,0.0097525,0.0097525
27,927.658,0.22243,0.90909,1,0.99887,0.0097426,0.0097426,0.0097426
28,961.849,0.24219,0.93766,1,0.97878,0.0097327,0.0097327,0.0097327
29,996.51,0.24742,0.88052,1,1.03185,0.0097228,0.0097228,0.0097228
30,1027.17,0.25022,0.84675,1,1.09961,0.0097129,0.0097129,0.0097129
31,1061.12,0.25194,0.94805,1,0.98058,0.009703,0.009703,0.009703
32,1096.02,0.20134,0.97143,1,0.94137,0.0096931,0.0096931,0.0096931
33,1131.13,0.22252,0.93766,1,0.9659,0.0096832,0.0096832,0.0096832
34,1163.11,0.3382,0.9039,1,1.01874,0.0096733,0.0096733,0.0096733
35,1196.47,0.25554,0.96883,1,0.95519,0.0096634,0.0096634,0.0096634
36,1231.23,0.20627,0.96104,1,0.96834,0.0096535,0.0096535,0.0096535
37,1266.27,0.20723,0.97922,1,0.94449,0.0096436,0.0096436,0.0096436
38,1297.9,0.19298,0.97143,1,0.93938,0.0096337,0.0096337,0.0096337
39,1331.99,0.19278,0.94545,1,0.97472,0.0096238,0.0096238,0.0096238
40,1366.9,0.19813,0.92468,1,0.98475,0.0096139,0.0096139,0.0096139
41,1401.36,0.21682,0.95844,1,0.95181,0.009604,0.009604,0.009604
42,1432.2,0.18824,0.95325,1,0.96815,0.0095941,0.0095941,0.0095941
43,1467.55,0.17887,0.96883,1,0.9455,0.0095842,0.0095842,0.0095842
44,1502.06,0.17844,0.97662,1,0.93243,0.0095743,0.0095743,0.0095743
45,1535.56,0.1586,0.98442,1,0.92713,0.0095644,0.0095644,0.0095644
46,1567.79,0.12776,0.98442,1,0.94772,0.0095545,0.0095545,0.0095545
47,1602.12,0.17665,0.99221,1,0.91819,0.0095446,0.0095446,0.0095446
48,1635.83,0.12886,0.98961,1,0.92435,0.0095347,0.0095347,0.0095347
49,1671.73,0.11804,0.96883,1,0.93881,0.0095248,0.0095248,0.0095248
50,1705.9,0.17421,0.97922,1,0.9434,0.0095149,0.0095149,0.0095149
51,1740.49,0.15835,0.97143,1,0.9354,0.009505,0.009505,0.009505
52,1773.53,0.15336,0.98961,1,0.91846,0.0094951,0.0094951,0.0094951
53,1809.02,0.14935,0.84156,1,1.04785,0.0094852,0.0094852,0.0094852
54,1842.73,0.13434,0.98182,1,0.92417,0.0094753,0.0094753,0.0094753
55,1877,0.15146,0.97662,1,0.93262,0.0094654,0.0094654,0.0094654
56,1909.06,0.1079,0.98961,1,0.91534,0.0094555,0.0094555,0.0094555
57,1945.67,0.11429,0.96623,1,0.95361,0.0094456,0.0094456,0.0094456
58,1978.57,0.10633,0.98961,1,0.92124,0.0094357,0.0094357,0.0094357
59,2014.23,0.12682,0.98182,1,0.9224,0.0094258,0.0094258,0.0094258
