epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0769,2.11321,4.33592,2.35181,0.04148,0.34307,0.09555,0.03435,1.91172,4.12035,2.35049,0.0001785,0.0001785,0.0001785
2,17.4628,1.88809,3.76407,2.10137,0.00972,0.44513,0.14385,0.05542,1.91166,3.86508,2.18174,0.00036378,0.00036378,0.00036378
3,22.8591,1.92443,3.12217,2.06543,0.73644,0.18082,0.26044,0.1172,1.97631,3.25399,2.21664,0.000548691,0.000548691,0.000548691
4,28.1497,1.89971,2.76476,2.08042,0.35008,0.40759,0.33739,0.16001,1.93468,3.08862,2.22026,0.000711879,0.000711879,0.000711879
5,33.7226,1.78857,2.44706,2.00479,0.67,0.40864,0.44432,0.21463,1.87644,2.61498,2.30096,0.000711173,0.000711173,0.000711173
6,39.3489,1.75876,2.28505,2.00949,0.51308,0.52855,0.5069,0.24054,1.84547,2.30587,2.21971,0.000710466,0.000710466,0.000710466
7,44.6073,1.72467,2.13244,2.00399,0.57798,0.50924,0.55668,0.28096,1.74573,2.05548,2.13928,0.000709759,0.000709759,0.000709759
8,49.5398,1.68325,2.04545,1.91791,0.58442,0.62527,0.59988,0.2942,1.76688,1.9192,2.16858,0.000709052,0.000709052,0.000709052
9,54.4696,1.65255,1.87712,1.87583,0.57313,0.61413,0.60382,0.30366,1.74194,1.79207,2.12558,0.000708345,0.000708345,0.000708345
10,59.3031,1.63311,1.77675,1.84959,0.66511,0.62458,0.64592,0.32748,1.66652,1.78849,2.03608,0.000707638,0.000707638,0.000707638
11,63.9518,1.58191,1.74832,1.82017,0.67688,0.65076,0.67761,0.35069,1.68132,1.62394,1.98704,0.000706931,0.000706931,0.000706931
12,68.7774,1.58813,1.65187,1.81589,0.67412,0.67224,0.68573,0.35634,1.61624,1.56133,1.95732,0.000706225,0.000706225,0.000706225
13,73.3962,1.56371,1.59853,1.78729,0.68342,0.7021,0.70346,0.37053,1.62972,1.46196,1.96522,0.000705518,0.000705518,0.000705518
14,78.034,1.56956,1.57365,1.79864,0.73604,0.68964,0.72285,0.36866,1.64465,1.45938,1.99302,0.000704811,0.000704811,0.000704811
15,82.7337,1.51458,1.53169,1.76285,0.74536,0.71321,0.74235,0.38114,1.66144,1.43926,1.99113,0.000704104,0.000704104,0.000704104
16,87.2817,1.51508,1.42989,1.73506,0.67303,0.67765,0.70553,0.3544,1.6757,1.54173,2.02421,0.000703397,0.000703397,0.000703397
17,91.8917,1.50183,1.4758,1.73483,0.71719,0.65565,0.69943,0.36505,1.60026,1.47011,1.9183,0.00070269,0.00070269,0.00070269
18,96.8214,1.49052,1.41701,1.72592,0.70689,0.68867,0.72893,0.37315,1.66556,1.42741,1.99075,0.000701983,0.000701983,0.000701983
19,101.278,1.5061,1.42374,1.71733,0.70606,0.66781,0.70913,0.3448,1.72498,1.51649,2.03612,0.000701277,0.000701277,0.000701277
20,105.87,1.44756,1.31822,1.66607,0.72995,0.74909,0.77495,0.41046,1.5509,1.27424,1.88341,0.00070057,0.00070057,0.00070057
21,110.537,1.48339,1.34597,1.71666,0.73604,0.76786,0.76914,0.41676,1.56775,1.23272,1.88778,0.000699863,0.000699863,0.000699863
22,115.164,1.46814,1.30824,1.68924,0.76644,0.75354,0.75913,0.4124,1.55427,1.21282,1.86985,0.000699156,0.000699156,0.000699156
23,119.859,1.46639,1.32388,1.69075,0.73352,0.76428,0.76956,0.41335,1.53354,1.19901,1.84043,0.000698449,0.000698449,0.000698449
24,124.471,1.38797,1.20601,1.61259,0.79082,0.7605,0.79753,0.42512,1.51681,1.17292,1.85188,0.000697742,0.000697742,0.000697742
25,129.238,1.40094,1.21926,1.65139,0.76854,0.7722,0.79435,0.43328,1.50767,1.1407,1.83978,0.000697035,0.000697035,0.000697035
26,133.83,1.39167,1.19643,1.63055,0.77533,0.7748,0.78747,0.41628,1.57057,1.1421,1.87317,0.000696328,0.000696328,0.000696328
27,138.313,1.42272,1.16055,1.64933,0.77928,0.77561,0.79953,0.41893,1.55645,1.14291,1.86418,0.000695622,0.000695622,0.000695622
28,142.856,1.41947,1.17166,1.66809,0.78659,0.75888,0.78825,0.42259,1.50964,1.15954,1.82541,0.000694915,0.000694915,0.000694915
29,147.426,1.40938,1.16391,1.6383,0.7625,0.75066,0.78981,0.43078,1.53029,1.15804,1.8299,0.000694208,0.000694208,0.000694208
30,151.977,1.34082,1.1316,1.57691,0.80598,0.78692,0.81372,0.44654,1.48708,1.05397,1.80363,0.000693501,0.000693501,0.000693501
31,156.515,1.35093,1.09952,1.60034,0.8313,0.80868,0.83527,0.46066,1.49532,1.00896,1.81084,0.000692794,0.000692794,0.000692794
32,161.084,1.36125,1.11355,1.59787,0.78573,0.75753,0.79844,0.43904,1.50639,1.08853,1.81579,0.000692087,0.000692087,0.000692087
33,165.651,1.34497,1.07282,1.57685,0.81494,0.83373,0.84562,0.46077,1.49738,1.00278,1.80656,0.00069138,0.00069138,0.00069138
34,170.506,1.34987,1.07564,1.5924,0.8117,0.8137,0.83691,0.45032,1.4996,1.02275,1.80644,0.000690674,0.000690674,0.000690674
35,174.952,1.35888,1.06692,1.58341,0.79531,0.72794,0.78487,0.41761,1.49986,1.09833,1.83565,0.000689967,0.000689967,0.000689967
36,179.68,1.30217,1.02888,1.55426,0.79299,0.80987,0.8124,0.45343,1.46361,1.02487,1.79762,0.00068926,0.00068926,0.00068926
37,184.179,1.3531,1.06748,1.59214,0.85465,0.82347,0.84667,0.47905,1.43238,0.94756,1.76043,0.000688553,0.000688553,0.000688553
38,188.735,1.3056,1.03832,1.55472,0.83701,0.82223,0.85417,0.47595,1.44335,0.95307,1.76831,0.000687846,0.000687846,0.000687846
39,193.145,1.27831,0.98415,1.53357,0.84238,0.81546,0.85,0.48605,1.42893,0.94424,1.76885,0.000687139,0.000687139,0.000687139
40,197.83,1.32418,1.00975,1.55502,0.86593,0.82663,0.87126,0.48895,1.43095,0.89774,1.76026,0.000686432,0.000686432,0.000686432
41,202.578,1.30309,0.98925,1.50196,0.82946,0.83308,0.85947,0.48223,1.46338,0.93058,1.77237,0.000685726,0.000685726,0.000685726
42,207.174,1.29518,0.98994,1.51025,0.82459,0.81674,0.83099,0.47494,1.43289,0.93269,1.76127,0.000685019,0.000685019,0.000685019
43,211.806,1.29535,0.97202,1.53227,0.84392,0.83492,0.86576,0.48565,1.44024,0.89503,1.76202,0.000684312,0.000684312,0.000684312
44,216.339,1.30965,0.98444,1.54234,0.85937,0.83211,0.85707,0.48994,1.41918,0.87754,1.74422,0.000683605,0.000683605,0.000683605
45,221.12,1.26645,0.95344,1.51325,0.85836,0.82819,0.84823,0.49216,1.41342,0.87423,1.73559,0.000682898,0.000682898,0.000682898
46,226.066,1.28789,0.94818,1.51057,0.84244,0.82364,0.86579,0.49549,1.39293,0.8735,1.7211,0.000682191,0.000682191,0.000682191
47,230.663,1.25319,0.93156,1.50883,0.85105,0.84254,0.86431,0.50134,1.37227,0.84626,1.7127,0.000681484,0.000681484,0.000681484
48,235.273,1.25915,0.95018,1.49984,0.85723,0.81874,0.86632,0.50141,1.40635,0.87368,1.72643,0.000680778,0.000680778,0.000680778
49,239.869,1.21681,0.89955,1.45531,0.83649,0.82279,0.85085,0.49578,1.42454,0.88814,1.72173,0.000680071,0.000680071,0.000680071
50,244.415,1.24738,0.89875,1.47077,0.83281,0.81806,0.86613,0.48644,1.41561,0.91499,1.7411,0.000679364,0.000679364,0.000679364
51,248.969,1.23852,0.93091,1.50027,0.87139,0.82079,0.86995,0.50416,1.37869,0.84724,1.69742,0.000678657,0.000678657,0.000678657
52,253.539,1.25333,0.91708,1.48881,0.86124,0.8271,0.86875,0.50148,1.43426,0.8805,1.74067,0.00067795,0.00067795,0.00067795
53,258.064,1.2604,0.90522,1.48878,0.85551,0.84135,0.87806,0.51467,1.36464,0.82106,1.70233,0.000677243,0.000677243,0.000677243
54,263.044,1.23092,0.88974,1.50084,0.84291,0.86942,0.87043,0.51063,1.39821,0.83794,1.71023,0.000676536,0.000676536,0.000676536
55,267.513,1.22387,0.89911,1.47185,0.8569,0.83843,0.8692,0.50629,1.4088,0.85416,1.72877,0.00067583,0.00067583,0.00067583
56,272.028,1.19728,0.87165,1.45792,0.85178,0.83969,0.86127,0.50918,1.37654,0.84631,1.72338,0.000675123,0.000675123,0.000675123
57,276.9,1.27035,0.90451,1.52896,0.85929,0.83319,0.87298,0.49852,1.40604,0.87455,1.73835,0.000674416,0.000674416,0.000674416
58,281.61,1.21925,0.86372,1.47148,0.88924,0.85122,0.88021,0.51979,1.39987,0.81355,1.71157,0.000673709,0.000673709,0.000673709
59,286.257,1.24373,0.88038,1.48252,0.87014,0.83692,0.87664,0.50214,1.40739,0.82741,1.72504,0.000673002,0.000673002,0.000673002
60,290.798,1.21023,0.86178,1.46879,0.85773,0.81857,0.85709,0.48888,1.41066,0.86318,1.7369,0.000672295,0.000672295,0.000672295
61,295.379,1.2042,0.87016,1.45549,0.85711,0.83093,0.86527,0.51071,1.36783,0.82496,1.69507,0.000671588,0.000671588,0.000671588
62,299.99,1.18054,0.8401,1.42392,0.87104,0.84245,0.86318,0.49821,1.43348,0.80486,1.75533,0.000670882,0.000670882,0.000670882
63,304.567,1.19688,0.82018,1.44727,0.86299,0.85216,0.88194,0.52132,1.38644,0.79931,1.72614,0.000670175,0.000670175,0.000670175
64,309.154,1.19225,0.84177,1.4537,0.88991,0.85722,0.89388,0.52812,1.35422,0.80017,1.67066,0.000669468,0.000669468,0.000669468
65,313.676,1.1735,0.82259,1.41132,0.84951,0.84201,0.86357,0.49738,1.42345,0.83452,1.72982,0.000668761,0.000668761,0.000668761
66,318.193,1.17926,0.85662,1.44005,0.83419,0.85067,0.87038,0.4984,1.40767,0.82848,1.72517,0.000668054,0.000668054,0.000668054
67,322.954,1.16046,0.81536,1.43094,0.88737,0.8557,0.8954,0.52647,1.36548,0.78192,1.67988,0.000667347,0.000667347,0.000667347
68,327.461,1.15544,0.8048,1.42304,0.87648,0.88084,0.90575,0.52288,1.40011,0.77355,1.72948,0.00066664,0.00066664,0.00066664
69,332.016,1.14305,0.77913,1.39501,0.9011,0.882,0.90602,0.54011,1.33223,0.75827,1.6609,0.000665934,0.000665934,0.000665934
70,336.593,1.14938,0.80174,1.41958,0.8491,0.855,0.88446,0.51946,1.3517,0.82353,1.67623,0.000665227,0.000665227,0.000665227
71,341.184,1.13478,0.78856,1.38016,0.84956,0.86757,0.88409,0.5157,1.38174,0.81763,1.70437,0.00066452,0.00066452,0.00066452
72,345.707,1.12162,0.79301,1.42265,0.86027,0.86445,0.88943,0.52302,1.3248,0.76873,1.65676,0.000663813,0.000663813,0.000663813
73,350.333,1.08789,0.75236,1.34802,0.89204,0.86442,0.89366,0.54285,1.32784,0.73576,1.67548,0.000663106,0.000663106,0.000663106
74,354.897,1.154,0.79267,1.41719,0.86516,0.8667,0.88448,0.52744,1.34345,0.76833,1.69004,0.000662399,0.000662399,0.000662399
75,359.325,1.14769,0.79505,1.401,0.88379,0.85402,0.88653,0.53382,1.33579,0.77514,1.67929,0.000661692,0.000661692,0.000661692
76,364.019,1.13641,0.77071,1.39194,0.87779,0.86365,0.89093,0.53362,1.33212,0.74084,1.67692,0.000660986,0.000660986,0.000660986
77,368.672,1.12135,0.77637,1.38871,0.87731,0.87829,0.89969,0.5388,1.3223,0.72776,1.66576,0.000660279,0.000660279,0.000660279
78,373.307,1.1026,0.77386,1.37691,0.90045,0.88143,0.90186,0.53602,1.31919,0.75792,1.64554,0.000659572,0.000659572,0.000659572
79,377.987,1.14928,0.79698,1.41068,0.8817,0.8722,0.89911,0.52705,1.33946,0.79058,1.66643,0.000658865,0.000658865,0.000658865
80,382.698,1.11524,0.76531,1.37767,0.89323,0.86391,0.90248,0.54404,1.32925,0.74512,1.66308,0.000658158,0.000658158,0.000658158
81,387.351,1.08543,0.7553,1.36561,0.89657,0.88645,0.90988,0.54977,1.326,0.72799,1.67618,0.000657451,0.000657451,0.000657451
82,392.051,1.10522,0.7554,1.37516,0.91125,0.88831,0.92181,0.56979,1.2965,0.68939,1.65293,0.000656744,0.000656744,0.000656744
83,396.763,1.0847,0.7206,1.33739,0.89158,0.88281,0.90391,0.55037,1.31803,0.72361,1.66682,0.000656037,0.000656037,0.000656037
84,401.562,1.09273,0.76042,1.37542,0.88556,0.85422,0.90351,0.54712,1.31729,0.75769,1.66776,0.000655331,0.000655331,0.000655331
