epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.778,1.10623,2.66986,5.59766,1.73429,0.44169,0.32143,0.33857,0.13679,0.49076,0.35714,0.38305,0.21545,1.81304,11.7761,23.3845,4.09669,0.0004,0.0004,0.0004
2,19.2574,1.01499,1.16548,1.77166,1.62224,0.02939,0.03571,0.01199,0.00463,0.02939,0.03571,0.01823,0.00808,2.57497,20.7555,7.83399,5.7338,0.000819188,0.000819188,0.000819188
3,25.2829,1.16337,1.25586,1.31409,1.73068,0.00037,0.02381,0.0002,5e-05,0,0,0,0,3.87628,389.737,122.418,43.777,0.00123754,0.00123754,0.00123754
4,31.2822,1.21574,1.2856,1.19775,1.77775,0,0,0,0,0,0,0,0,4.47,1448.39,45.4511,254.768,0.00165507,0.00165507,0.00165507
5,37.375,1.27264,1.36702,1.26551,1.77707,0.02463,0.13095,0.01464,0.00367,0.0104,0.11905,0.00454,0.00074,3.55521,16.0523,21.7389,21.2865,0.00199208,0.00199208,0.00199208
6,43.6661,1.21151,1.08032,1.00618,1.76433,0.00924,0.13095,0.00552,0.0013,0.00442,0.05952,0.00183,0.00035,3.57724,18.7627,4.77725,5.82813,0.0019901,0.0019901,0.0019901
7,49.69,1.163,1.09713,1.0234,1.73711,0.06382,0.08333,0.03187,0.00974,0.07912,0.10333,0.03885,0.01255,2.86406,11.562,5.17487,4.26053,0.00198812,0.00198812,0.00198812
8,55.6752,1.21328,1.02856,1.06379,1.77135,0.08338,0.22619,0.03677,0.01061,0.10532,0.28571,0.06723,0.02717,3.32861,3.54805,3.24467,4.31309,0.00198614,0.00198614,0.00198614
9,61.6913,1.10658,0.99357,0.92285,1.65983,0.15207,0.34524,0.10113,0.03696,0.17397,0.33333,0.12372,0.0644,2.25872,1.41227,3.74128,3.41946,0.00198416,0.00198416,0.00198416
10,67.6983,1.08045,1.03764,0.91772,1.67362,0.55804,0.64286,0.60117,0.28006,0.59865,0.70238,0.68027,0.40982,1.90424,2.35235,2.75203,3.2126,0.00198218,0.00198218,0.00198218
11,73.7813,0.9314,0.95168,0.74508,1.46629,0.79816,0.82143,0.84786,0.47724,0.79031,0.82143,0.83877,0.62084,1.50334,2.27856,1.57738,2.57811,0.0019802,0.0019802,0.0019802
12,79.8162,1.02422,0.96817,0.79209,1.56527,0.78013,0.71812,0.83694,0.4389,0.78762,0.75057,0.87592,0.6746,1.69379,1.55475,1.27844,2.71781,0.00197822,0.00197822,0.00197822
13,85.9759,1.02861,0.97051,0.75616,1.57146,0.78273,0.86905,0.86101,0.50023,0.80521,0.89286,0.89366,0.68078,1.59692,1.69777,1.38961,2.83479,0.00197624,0.00197624,0.00197624
14,92.0433,0.94548,0.93069,0.74257,1.50742,0.91372,0.8825,0.96078,0.61278,0.91372,0.8825,0.95743,0.78232,1.33181,1.52155,1.06095,2.50978,0.00197426,0.00197426,0.00197426
