epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1521,2.18879,5.04634,0.03828,0.00575,0.49372,0.06746,0.03114,2.03807,4.30569,0.04486,0.00027151,0.00027151,0.00027151
2,14.6149,1.64418,4.5532,0.02671,0.00735,0.69236,0.04939,0.02717,1.72241,4.10521,0.0364,0.000555471,0.000555471,0.000555471
3,17.8673,1.33049,3.91947,0.02067,0.00599,0.70855,0.14824,0.06439,1.91055,4.20902,0.04145,0.000837545,0.000837545,0.000837545
4,21.109,1.37177,3.39551,0.02163,0.49312,0.09402,0.15475,0.04064,2.16876,4.1768,0.04819,0.00111773,0.00111773,0.00111773
5,24.2617,1.36924,2.96198,0.02182,0.33887,0.14603,0.18799,0.04926,2.28611,3.7091,0.05292,0.00139604,0.00139604,0.00139604
6,27.3631,1.36267,2.71959,0.02098,0.4258,0.43686,0.43957,0.25817,1.47562,2.67606,0.02965,0.00140542,0.00140542,0.00140542
7,30.5274,1.35405,2.58626,0.02143,0.42891,0.52085,0.45711,0.23305,1.69865,2.03538,0.03734,0.00140071,0.00140071,0.00140071
8,33.6427,1.34748,2.40062,0.02166,0.49304,0.50229,0.48483,0.27068,1.49667,1.97688,0.0306,0.00139599,0.00139599,0.00139599
9,36.7327,1.33143,2.22198,0.02088,0.46044,0.5358,0.48439,0.25041,1.58229,1.8095,0.0327,0.00139127,0.00139127,0.00139127
10,39.8479,1.2987,2.0806,0.02004,0.51611,0.58926,0.55709,0.32982,1.38021,1.82544,0.02737,0.00138656,0.00138656,0.00138656
11,42.9744,1.26637,1.90439,0.01918,0.56354,0.56698,0.56515,0.32977,1.50503,1.71399,0.03041,0.00138184,0.00138184,0.00138184
12,46.046,1.29581,1.86577,0.02031,0.48306,0.58794,0.54632,0.30131,1.56733,1.71332,0.03274,0.00137713,0.00137713,0.00137713
13,49.1721,1.28707,1.73265,0.01999,0.57446,0.67413,0.62776,0.36363,1.4325,1.49732,0.02781,0.00137241,0.00137241,0.00137241
