epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5112,3.786,0.9091,1.36395,2.77941,0.09116,23.9698,0,0,0,0,0.06559,0.03226,0.03999,0.01274,nan,nan,nan,nan,nan,0,0.00325203,0.00325203,0.0707317
2,26.1486,3.07411,0.84852,1.24618,2.48466,0.0713,17.758,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0,0.00657233,0.00657233,0.0407187
3,34.9945,3.13657,0.77612,1.22573,2.26081,0.07483,17.0952,0.01471,0.02151,0.00451,0.00121,0.26252,0.39785,0.18305,0.07071,nan,nan,nan,nan,nan,0,0.00987942,0.00987942,0.0106924
4,43.9236,2.97968,0.80258,1.19072,2.40496,0.06841,16.9302,0.16181,0.10753,0.03199,0.0057,0.31719,0.31183,0.26764,0.13837,5.25369,3.09721,1.11729,7.96913,0.23452,0,0.0099406,0.0099406,0.0099406
5,52.7232,2.72618,0.80257,1.21398,2.3647,0.06212,16.5407,0.02645,0.16129,0.01575,0.00237,0.54026,0.58065,0.54307,0.18439,4.27056,2.99124,1.2304,5.93027,0.16073,0,0.0099208,0.0099208,0.0099208
6,62.0242,2.70007,0.70393,1.21755,2.20208,0.06112,16.0717,0.14155,0.22581,0.076,0.0132,0.46683,0.62138,0.49633,0.18396,4.24134,3.21729,0.7158,4.43786,0.15917,0,0.009901,0.009901,0.009901
7,72.6961,2.69306,0.72409,1.17112,2.23057,0.05993,16.1492,0.30561,0.23656,0.13221,0.03005,0.63719,0.54839,0.64416,0.29153,4.01173,2.9813,0.25041,4.8689,0.15181,0,0.0098812,0.0098812,0.0098812
8,81.692,2.53578,0.69164,1.14943,2.20225,0.05659,16.1656,0.16789,0.21505,0.13345,0.02962,0.4449,0.56989,0.47801,0.20573,3.62983,3.05957,1.13314,3.7334,0.11561,0,0.0098614,0.0098614,0.0098614
9,90.4936,2.57392,0.60939,1.12278,2.14679,0.05925,16.1018,0.59695,0.07527,0.22078,0.08365,0.7886,0.11828,0.35859,0.18137,3.25561,2.75478,1.67687,2.77411,0.11278,0,0.0098416,0.0098416,0.0098416
10,99.2674,2.44882,0.65449,1.13832,2.04678,0.05579,15.9064,0.26802,0.48387,0.18937,0.0385,0.48061,0.67742,0.51885,0.24087,3.52514,2.75134,0.76903,3.30232,0.1259,0,0.0098218,0.0098218,0.0098218
11,108.078,2.53437,0.70121,1.13317,2.07669,0.05613,16.0378,0.36125,0.49462,0.3022,0.07,0.59201,0.68817,0.66866,0.28915,3.453,2.70584,0.74452,2.74589,0.11915,0,0.009802,0.009802,0.009802
12,117.781,2.48884,0.62601,1.11107,2.02741,0.05715,15.9401,0.21319,0.23656,0.19075,0.05253,0.34478,0.4086,0.42704,0.23457,3.63781,2.84652,1.79851,3.30334,0.13489,0,0.0097822,0.0097822,0.0097822
13,127.409,2.51746,0.67949,1.13287,2.0201,0.05671,15.7815,0.18797,0.24731,0.11018,0.02081,0.50001,0.66667,0.56925,0.20826,4.19763,3.32861,0.5693,3.61458,0.15471,0,0.0097624,0.0097624,0.0097624
14,136.877,2.45513,0.61125,1.14594,2.04384,0.05704,15.7289,0.29439,0.21505,0.13968,0.03145,0.33761,0.31183,0.37092,0.19093,4.17696,2.88963,1.26989,2.5946,0.16112,0,0.0097426,0.0097426,0.0097426
15,146.502,2.50189,0.59551,1.09496,2.03115,0.05578,15.6314,0.38949,0.48387,0.30691,0.07488,0.51485,0.67742,0.55186,0.24625,3.3617,2.97734,0.62676,2.97874,0.11583,0,0.0097228,0.0097228,0.0097228
16,157.201,2.46912,0.6481,1.08926,1.96928,0.05581,15.8501,0.28994,0.35565,0.21931,0.04759,0.47738,0.63441,0.49094,0.22235,3.91249,3.16764,1.09924,2.78284,0.14699,0,0.009703,0.009703,0.009703
17,167.314,2.52549,0.618,1.11776,1.91048,0.05762,15.5147,0.30255,0.41981,0.29709,0.10132,0.45605,0.60215,0.51819,0.24501,3.28053,2.83688,1.22893,2.55913,0.1116,0,0.0096832,0.0096832,0.0096832
18,177.771,2.58251,0.611,1.1111,1.91553,0.05846,15.7634,0.26112,0.4086,0.2002,0.03765,0.51154,0.69817,0.55071,0.2562,3.88715,2.86344,0.86619,2.16538,0.14375,0,0.0096634,0.0096634,0.0096634
19,188.212,2.56638,0.62025,1.11516,1.80544,0.05807,15.4494,0.2869,0.31183,0.18495,0.04038,0.58485,0.64516,0.62728,0.26226,3.76088,2.90464,0.63125,2.68524,0.13507,0,0.0096436,0.0096436,0.0096436
20,198.515,2.46334,0.57608,1.09517,1.84005,0.0549,15.5261,0.09529,0.06452,0.03823,0.00856,0.30807,0.19153,0.34355,0.16134,4.12189,3.04498,2.47939,4.10493,0.15438,0,0.0096238,0.0096238,0.0096238
21,208.742,2.47066,0.58004,1.06591,1.84709,0.0562,15.3952,0.26219,0.32258,0.182,0.03683,0.40569,0.63861,0.53889,0.23931,3.98841,3.17826,1.6453,3.02862,0.15409,0,0.009604,0.009604,0.009604
22,218.896,2.54027,0.61593,1.06742,1.81999,0.05659,15.2593,0.14604,0.34409,0.12933,0.0274,0.41396,0.92473,0.71156,0.34356,4.35474,3.19546,2.34387,3.12074,0.17803,0,0.0095842,0.0095842,0.0095842
23,228.957,2.33515,0.6138,1.07252,1.93877,0.05206,15.8781,0.4294,0.63441,0.53654,0.17463,0.51359,0.75269,0.68584,0.3077,3.06856,2.9822,0.93939,2.25175,0.09964,0,0.0095644,0.0095644,0.0095644
24,237.411,2.38423,0.58285,1.07682,1.78793,0.05364,15.2403,0.14932,0.44086,0.11716,0.0246,0.38442,0.94624,0.70997,0.33363,4.56283,2.86055,1.31064,3.74696,0.18909,0,0.0095446,0.0095446,0.0095446
25,246.38,2.43115,0.58563,1.08705,1.78182,0.0555,15.4072,0.18897,0.27957,0.17341,0.03496,0.4711,0.63441,0.58635,0.25391,4.49774,3.02293,1.36288,3.14487,0.18803,0,0.0095248,0.0095248,0.0095248
26,255.651,2.47399,0.58537,1.06381,1.70536,0.05572,15.2098,0.42965,0.52688,0.45853,0.14741,0.53249,0.65591,0.61487,0.30396,3.3413,2.58553,0.70014,2.67944,0.11333,0,0.009505,0.009505,0.009505
27,264.48,2.38455,0.5539,1.08488,1.72674,0.05421,14.8364,0.35484,0.44086,0.29182,0.06555,0.55785,0.70547,0.58555,0.21914,3.6842,3.44895,1.32018,3.23971,0.12744,0,0.0094852,0.0094852,0.0094852
28,273.462,2.39061,0.54211,1.06834,1.74019,0.05404,14.9913,0.56307,0.66515,0.58028,0.21854,0.69051,0.81569,0.77316,0.37883,2.66021,2.89342,0.99321,1.78998,0.07936,0,0.0094654,0.0094654,0.0094654
29,282.524,2.36239,0.58186,1.04907,1.67919,0.05265,15.1792,0.4389,0.52688,0.37593,0.10014,0.55832,0.75269,0.63248,0.32159,3.45559,2.7944,0.594,2.19931,0.12434,0,0.0094456,0.0094456,0.0094456
30,291.653,2.30812,0.62841,1.04633,1.58644,0.05266,15.1344,0.40458,0.51613,0.39603,0.13807,0.5404,0.78495,0.68524,0.358,3.418,2.83875,0.91761,2.2422,0.12684,0,0.0094258,0.0094258,0.0094258
31,300.753,2.40475,0.54575,1.03552,1.56281,0.05375,14.9636,0.45401,0.51613,0.46992,0.19651,0.45959,0.69892,0.59392,0.31292,3.09137,2.73939,0.61705,1.71115,0.09992,0,0.009406,0.009406,0.009406
32,309.828,2.30624,0.55091,1.0861,1.5704,0.05179,14.7094,0.56224,0.54839,0.51136,0.15413,0.5931,0.69892,0.68892,0.32441,3.42393,2.89452,0.97214,2.05666,0.11795,0,0.0093862,0.0093862,0.0093862
33,318.782,2.45356,0.56311,1.05247,1.6125,0.05583,15.2636,0.35475,0.45161,0.32598,0.08057,0.56319,0.63775,0.62107,0.26867,3.92124,2.88638,1.16394,2.36862,0.14013,0,0.0093664,0.0093664,0.0093664
34,327.669,2.31291,0.51993,1.03447,1.71835,0.05244,14.9171,0.46707,0.54839,0.43254,0.12521,0.52712,0.73114,0.65144,0.3083,3.54401,3.11201,2.44684,3.59464,0.12301,0,0.0093466,0.0093466,0.0093466
35,336.44,2.2501,0.51921,1.0762,1.60838,0.04961,14.6454,0.33668,0.25109,0.19719,0.04588,0.39166,0.53763,0.43563,0.234,4.2795,2.95438,2.09701,2.73676,0.167,0,0.0093268,0.0093268,0.0093268
