epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.32607,0.31438,0.84906,1,0.44921,0.0703191,0.00329787,0.00329787
2,10.0146,0.31084,0.82547,1,0.48404,0.0402754,0.00658744,0.00658744
3,13.5471,0.33237,0.4717,1,6.00384,0.0101876,0.00983301,0.00983301
4,17.0365,0.30893,0.41509,1,10.6431,0.009802,0.009802,0.009802
5,20.5313,0.30298,0.83491,1,0.45751,0.009736,0.009736,0.009736
6,24.0658,0.44296,0.81132,1,0.54608,0.00967,0.00967,0.00967
7,27.5887,0.34215,0.86792,1,0.3662,0.009604,0.009604,0.009604
8,31.1132,0.27376,0.59434,1,2.80783,0.009538,0.009538,0.009538
9,34.623,0.33121,0.7783,1,0.84893,0.009472,0.009472,0.009472
10,38.0721,0.35429,0.83962,1,0.59933,0.009406,0.009406,0.009406
11,41.5711,0.33908,0.46226,1,5.57701,0.00934,0.00934,0.00934
12,45.0645,0.35452,0.81132,1,0.60873,0.009274,0.009274,0.009274
13,48.596,0.35837,0.83962,1,0.55016,0.009208,0.009208,0.009208
14,52.1187,0.32995,0.85377,1,0.47905,0.009142,0.009142,0.009142
15,55.6818,0.33957,0.74528,1,1.6092,0.009076,0.009076,0.009076
16,59.1831,0.31267,0.84434,1,0.46541,0.00901,0.00901,0.00901
17,62.6395,0.27849,0.78302,1,0.71555,0.008944,0.008944,0.008944
18,66.1014,0.3168,0.82547,1,0.54488,0.008878,0.008878,0.008878
19,69.6766,0.28318,0.83962,1,0.49795,0.008812,0.008812,0.008812
20,73.1486,0.29046,0.85377,1,0.54498,0.008746,0.008746,0.008746
21,76.6658,0.30612,0.85377,1,0.45974,0.00868,0.00868,0.00868
22,80.2005,0.34824,0.83019,1,0.56999,0.008614,0.008614,0.008614
23,83.7327,0.24912,0.80189,1,0.63164,0.008548,0.008548,0.008548
24,87.1559,0.25813,0.7783,1,0.62764,0.008482,0.008482,0.008482
25,90.6253,0.25952,0.84434,1,0.44985,0.008416,0.008416,0.008416
26,94.1681,0.29223,0.46698,1,4.94413,0.00835,0.00835,0.00835
27,97.6715,0.35314,0.60849,1,1.90578,0.008284,0.008284,0.008284
28,101.178,0.45301,0.83491,1,0.48181,0.008218,0.008218,0.008218
29,104.712,0.23416,0.86792,1,0.45958,0.008152,0.008152,0.008152
30,108.212,0.23313,0.66509,1,1.22904,0.008086,0.008086,0.008086
31,111.692,0.25699,0.84906,1,0.47831,0.00802,0.00802,0.00802
32,115.232,0.22127,0.84906,1,0.70213,0.007954,0.007954,0.007954
33,118.762,0.22593,0.81132,1,0.62242,0.007888,0.007888,0.007888
34,122.294,0.28871,0.86321,1,0.3901,0.007822,0.007822,0.007822
35,125.804,0.26241,0.83491,1,0.54167,0.007756,0.007756,0.007756
36,129.302,0.2882,0.83962,1,0.59353,0.00769,0.00769,0.00769
37,132.868,0.33921,0.81132,1,0.53208,0.007624,0.007624,0.007624
38,136.358,0.24329,0.77358,1,1.01045,0.007558,0.007558,0.007558
39,139.849,0.25604,0.83962,1,0.46476,0.007492,0.007492,0.007492
40,143.425,0.33512,0.84434,1,0.43755,0.007426,0.007426,0.007426
41,146.994,0.24518,0.86792,1,0.48853,0.00736,0.00736,0.00736
42,150.436,0.27917,0.36792,1,5.7546,0.007294,0.007294,0.007294
43,153.945,0.23786,0.85849,1,0.50926,0.007228,0.007228,0.007228
44,157.432,0.23462,0.84434,1,0.44455,0.007162,0.007162,0.007162
45,160.937,0.20551,0.85849,1,0.51341,0.007096,0.007096,0.007096
46,164.433,0.24054,0.88679,1,0.34321,0.00703,0.00703,0.00703
47,168.014,0.19834,0.86321,1,0.43698,0.006964,0.006964,0.006964
48,171.45,0.22461,0.61321,1,2.76946,0.006898,0.006898,0.006898
49,174.926,0.28901,0.83962,1,0.46661,0.006832,0.006832,0.006832
50,178.411,0.23195,0.88208,1,0.38397,0.006766,0.006766,0.006766
51,181.911,0.21763,0.87264,1,0.40846,0.0067,0.0067,0.0067
52,185.358,0.21944,0.87264,1,0.49421,0.006634,0.006634,0.006634
53,188.79,0.22307,0.87264,1,0.47748,0.006568,0.006568,0.006568
54,192.297,0.18234,0.88208,1,0.44437,0.006502,0.006502,0.006502
55,195.789,0.24573,0.89623,1,0.373,0.006436,0.006436,0.006436
56,199.234,0.24164,0.88208,1,0.41095,0.00637,0.00637,0.00637
57,202.869,0.2069,0.78774,1,0.81152,0.006304,0.006304,0.006304
58,206.561,0.20033,0.87264,1,0.45893,0.006238,0.006238,0.006238
59,210.481,0.22699,0.85849,1,0.40721,0.006172,0.006172,0.006172
60,214.437,0.20512,0.89151,1,0.44567,0.006106,0.006106,0.006106
61,218.418,0.22267,0.86321,1,0.54949,0.00604,0.00604,0.00604
62,222.334,0.18659,0.86792,1,0.42542,0.005974,0.005974,0.005974
63,226.252,0.22821,0.83962,1,0.54241,0.005908,0.005908,0.005908
64,230.223,0.18891,0.86321,1,0.47179,0.005842,0.005842,0.005842
65,234.186,0.19602,0.85849,1,0.50786,0.005776,0.005776,0.005776
66,238.184,0.18376,0.86321,1,0.46567,0.00571,0.00571,0.00571
67,242.097,0.16485,0.85849,1,0.46376,0.005644,0.005644,0.005644
68,246.05,0.19797,0.86321,1,0.36917,0.005578,0.005578,0.005578
69,250.016,0.1639,0.87736,1,0.49408,0.005512,0.005512,0.005512
70,254.043,0.20352,0.82075,1,0.60427,0.005446,0.005446,0.005446
71,257.967,0.21935,0.87736,1,0.37839,0.00538,0.00538,0.00538
72,262.055,0.16084,0.84906,1,0.47922,0.005314,0.005314,0.005314
73,265.955,0.19417,0.87736,1,0.53363,0.005248,0.005248,0.005248
74,269.921,0.17776,0.84906,1,0.50483,0.005182,0.005182,0.005182
75,273.858,0.1659,0.84906,1,0.51106,0.005116,0.005116,0.005116
76,277.839,0.20031,0.85849,1,0.58435,0.00505,0.00505,0.00505
77,281.696,0.13247,0.78302,1,1.39607,0.004984,0.004984,0.004984
78,285.612,0.16231,0.81604,1,0.7335,0.004918,0.004918,0.004918
79,289.518,0.17346,0.84906,1,0.58551,0.004852,0.004852,0.004852
80,293.372,0.17571,0.88679,1,0.46668,0.004786,0.004786,0.004786
81,297.259,0.20102,0.86792,1,0.49652,0.00472,0.00472,0.00472
82,301.249,0.16446,0.85849,1,0.41285,0.004654,0.004654,0.004654
83,305.143,0.1664,0.86792,1,0.63694,0.004588,0.004588,0.004588
84,309.001,0.14016,0.84906,1,0.52987,0.004522,0.004522,0.004522
85,312.851,0.1576,0.86321,1,0.49309,0.004456,0.004456,0.004456
86,316.798,0.16817,0.84906,1,0.48698,0.00439,0.00439,0.00439
87,320.766,0.19224,0.85377,1,0.44676,0.004324,0.004324,0.004324
88,324.789,0.20073,0.89623,1,0.41549,0.004258,0.004258,0.004258
89,328.758,0.16258,0.81132,1,0.55899,0.004192,0.004192,0.004192
90,332.855,0.17306,0.86321,1,0.46539,0.004126,0.004126,0.004126
91,336.807,0.16584,0.82547,1,0.57329,0.00406,0.00406,0.00406
92,340.742,0.20727,0.84906,1,0.50484,0.003994,0.003994,0.003994
93,344.689,0.14567,0.87264,1,0.45101,0.003928,0.003928,0.003928
94,348.696,0.13961,0.87736,1,0.54561,0.003862,0.003862,0.003862
95,352.655,0.14992,0.84434,1,0.57123,0.003796,0.003796,0.003796
96,356.596,0.1352,0.88679,1,0.44577,0.00373,0.00373,0.00373
97,360.49,0.18294,0.87264,1,0.56809,0.003664,0.003664,0.003664
98,364.443,0.11929,0.84434,1,0.57041,0.003598,0.003598,0.003598
99,368.328,0.13741,0.87736,1,0.43665,0.003532,0.003532,0.003532
100,372.232,0.1387,0.86792,1,0.51671,0.003466,0.003466,0.003466
101,376.229,0.10346,0.85849,1,0.48115,0.0034,0.0034,0.0034
102,380.189,0.16934,0.87736,1,0.42724,0.003334,0.003334,0.003334
103,384.036,0.12361,0.83962,1,0.52745,0.003268,0.003268,0.003268
104,387.897,0.12907,0.89623,1,0.39615,0.003202,0.003202,0.003202
105,391.861,0.12156,0.84906,1,0.50114,0.003136,0.003136,0.003136
106,395.716,0.14394,0.89623,1,0.41616,0.00307,0.00307,0.00307
107,399.607,0.15603,0.85377,1,0.50636,0.003004,0.003004,0.003004
108,403.444,0.16984,0.87264,1,0.4661,0.002938,0.002938,0.002938
109,407.44,0.17713,0.87264,1,0.47382,0.002872,0.002872,0.002872
110,411.363,0.11539,0.86792,1,0.55987,0.002806,0.002806,0.002806
111,415.235,0.13772,0.90094,1,0.42558,0.00274,0.00274,0.00274
112,419.162,0.1614,0.87264,1,0.51957,0.002674,0.002674,0.002674
113,423.145,0.1116,0.88208,1,0.45083,0.002608,0.002608,0.002608
114,427.128,0.1407,0.88208,1,0.44392,0.002542,0.002542,0.002542
115,431.111,0.10821,0.88208,1,0.44143,0.002476,0.002476,0.002476
116,434.976,0.1338,0.86792,1,0.49024,0.00241,0.00241,0.00241
117,439.018,0.13602,0.86792,1,0.56097,0.002344,0.002344,0.002344
118,443.033,0.1215,0.84906,1,0.48457,0.002278,0.002278,0.002278
119,446.915,0.12476,0.83962,1,0.48974,0.002212,0.002212,0.002212
120,450.801,0.12518,0.89151,1,0.45957,0.002146,0.002146,0.002146
121,454.755,0.11193,0.89151,1,0.41356,0.00208,0.00208,0.00208
122,458.815,0.11013,0.89151,1,0.46003,0.002014,0.002014,0.002014
123,462.884,0.12817,0.87264,1,0.51012,0.001948,0.001948,0.001948
124,466.796,0.14614,0.86792,1,0.50295,0.001882,0.001882,0.001882
125,470.653,0.13728,0.87264,1,0.45158,0.001816,0.001816,0.001816
126,474.589,0.12006,0.88208,1,0.43979,0.00175,0.00175,0.00175
127,478.484,0.12458,0.86321,1,0.45924,0.001684,0.001684,0.001684
128,482.416,0.14647,0.85849,1,0.54499,0.001618,0.001618,0.001618
129,486.415,0.13015,0.90094,1,0.48829,0.001552,0.001552,0.001552
130,490.295,0.1368,0.88679,1,0.46221,0.001486,0.001486,0.001486
131,494.175,0.11948,0.86321,1,0.43841,0.00142,0.00142,0.00142
132,498.078,0.10398,0.88679,1,0.43883,0.001354,0.001354,0.001354
133,502.039,0.11565,0.89151,1,0.4641,0.001288,0.001288,0.001288
134,505.971,0.10335,0.85377,1,0.51757,0.001222,0.001222,0.001222
135,509.84,0.1267,0.86792,1,0.48378,0.001156,0.001156,0.001156
136,513.712,0.09484,0.87264,1,0.47452,0.00109,0.00109,0.00109
137,517.786,0.08419,0.87736,1,0.50745,0.001024,0.001024,0.001024
138,521.803,0.10442,0.86321,1,0.58388,0.000958,0.000958,0.000958
139,525.785,0.09249,0.87736,1,0.53373,0.000892,0.000892,0.000892
140,529.693,0.09888,0.86321,1,0.50741,0.000826,0.000826,0.000826
141,552.256,0.11884,0.87736,1,0.49701,0.00076,0.00076,0.00076
142,556.169,0.08968,0.88208,1,0.50888,0.000694,0.000694,0.000694
143,560.03,0.1075,0.88208,1,0.51808,0.000628,0.000628,0.000628
144,563.99,0.08547,0.87264,1,0.5053,0.000562,0.000562,0.000562
145,567.875,0.07876,0.88208,1,0.49281,0.000496,0.000496,0.000496
146,571.859,0.11239,0.88679,1,0.4703,0.00043,0.00043,0.00043
147,575.772,0.08634,0.88679,1,0.47257,0.000364,0.000364,0.000364
148,579.558,0.09017,0.88679,1,0.47505,0.000298,0.000298,0.000298
149,583.429,0.09504,0.86792,1,0.48737,0.000232,0.000232,0.000232
150,587.25,0.10124,0.88679,1,0.51559,0.000166,0.000166,0.000166
