epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0621,2.19556,4.20441,2.54196,0.00957,0.42447,0.08892,0.02189,2.11598,4.16583,2.50093,0.00325203,0.00325203,0.00325203
2,33.0315,1.9568,3.41986,2.26988,0.72165,0.1125,0.18689,0.07413,2.32622,3.4634,2.51463,0.00657885,0.00657885,0.00657885
3,44.804,1.9227,2.86372,2.22879,0.52407,0.23179,0.15174,0.07624,2.42129,4.37952,2.59029,0.00989906,0.00989906,0.00989906
4,56.9425,1.86399,2.48873,2.19964,0.25275,0.49244,0.30314,0.13211,2.10368,4.28366,2.64797,0.0099703,0.0099703,0.0099703
5,68.5211,1.80671,2.28747,2.16442,0.47291,0.37297,0.35593,0.14082,2.12091,3.39431,2.56986,0.0099604,0.0099604,0.0099604
6,79.9128,1.75394,2.06244,2.09474,0.50445,0.4835,0.49228,0.21714,1.97824,2.63534,2.49625,0.0099505,0.0099505,0.0099505
7,91.1427,1.71221,1.95074,2.07388,0.55459,0.52641,0.55336,0.25376,1.89795,2.18276,2.35205,0.0099406,0.0099406,0.0099406
8,102.319,1.67054,1.82106,2.02482,0.52549,0.56667,0.56884,0.25,1.981,2.00881,2.43438,0.0099307,0.0099307,0.0099307
9,113.457,1.65708,1.75418,2.01304,0.46361,0.5388,0.52267,0.20592,2.12797,2.10499,2.54383,0.0099208,0.0099208,0.0099208
10,124.685,1.64662,1.66483,1.99572,0.5145,0.6726,0.64263,0.31318,1.7543,1.68735,2.17663,0.0099109,0.0099109,0.0099109
11,135.697,1.61404,1.58169,1.98218,0.56064,0.60743,0.61344,0.29031,1.84619,1.64329,2.25551,0.009901,0.009901,0.009901
12,146.784,1.60889,1.51943,1.95826,0.59396,0.65509,0.64954,0.31245,1.77994,1.62839,2.15829,0.0098911,0.0098911,0.0098911
13,158.289,1.58077,1.4643,1.94754,0.58974,0.66398,0.65679,0.33684,1.75121,1.42817,2.09392,0.0098812,0.0098812,0.0098812
14,169.449,1.57705,1.42025,1.92678,0.60495,0.7596,0.71208,0.36099,1.7165,1.28244,2.13444,0.0098713,0.0098713,0.0098713
15,180.651,1.5576,1.38538,1.90904,0.63031,0.72402,0.71469,0.35217,1.74994,1.26512,2.11131,0.0098614,0.0098614,0.0098614
16,191.788,1.53204,1.3395,1.88136,0.64162,0.71592,0.71933,0.33504,1.82369,1.29755,2.19759,0.0098515,0.0098515,0.0098515
17,202.956,1.52738,1.30946,1.89008,0.67357,0.70442,0.73162,0.36287,1.74631,1.31361,2.12295,0.0098416,0.0098416,0.0098416
18,214.12,1.50967,1.27348,1.86689,0.66477,0.69256,0.69348,0.33661,1.79909,1.33372,2.1871,0.0098317,0.0098317,0.0098317
19,225.289,1.50495,1.253,1.84591,0.6838,0.66414,0.69004,0.33383,1.83272,1.33107,2.18613,0.0098218,0.0098218,0.0098218
20,236.412,1.48191,1.22488,1.84812,0.7073,0.73262,0.74072,0.37353,1.75882,1.2636,2.13469,0.0098119,0.0098119,0.0098119
21,247.529,1.48214,1.20631,1.83312,0.71442,0.7537,0.7627,0.38517,1.71931,1.2267,2.09124,0.009802,0.009802,0.009802
22,258.671,1.46554,1.19878,1.8289,0.67757,0.75178,0.75655,0.38238,1.70758,1.22549,2.07092,0.0097921,0.0097921,0.0097921
23,269.834,1.46364,1.15976,1.80638,0.69631,0.7646,0.76788,0.35538,1.8295,1.17436,2.14387,0.0097822,0.0097822,0.0097822
24,281.006,1.46842,1.18788,1.82162,0.69528,0.79808,0.76715,0.41623,1.64052,1.0742,2.02883,0.0097723,0.0097723,0.0097723
25,292.423,1.45251,1.1574,1.81245,0.77255,0.78608,0.80005,0.4263,1.63316,1.05478,1.98588,0.0097624,0.0097624,0.0097624
26,303.668,1.43118,1.12187,1.79941,0.69317,0.74506,0.73223,0.3287,1.94149,1.31731,2.29335,0.0097525,0.0097525,0.0097525
27,314.871,1.44428,1.11688,1.79477,0.63115,0.72317,0.72547,0.37137,1.6933,1.15441,2.05018,0.0097426,0.0097426,0.0097426
28,326.032,1.42366,1.12276,1.79986,0.71107,0.80273,0.78687,0.40861,1.66593,1.06774,2.04223,0.0097327,0.0097327,0.0097327
29,337.305,1.42147,1.09067,1.77878,0.75248,0.78671,0.79243,0.41015,1.6912,1.05234,2.03611,0.0097228,0.0097228,0.0097228
30,348.574,1.39334,1.0484,1.75181,0.69685,0.71913,0.73878,0.36744,1.76557,1.28799,2.15672,0.0097129,0.0097129,0.0097129
31,359.635,1.39543,1.05668,1.75622,0.76225,0.80454,0.81961,0.41831,1.70229,0.97763,2.05963,0.009703,0.009703,0.009703
32,370.655,1.38894,1.0461,1.73756,0.73769,0.79619,0.79623,0.42619,1.61358,1.02158,2.00376,0.0096931,0.0096931,0.0096931
33,381.783,1.40826,1.06245,1.77114,0.71421,0.78172,0.78528,0.41706,1.63984,1.07981,1.97,0.0096832,0.0096832,0.0096832
