epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2418,2.19694,4.48536,2.48418,0.2959,0.17067,0.1691,0.08962,2.13223,3.22204,2.58112,0.0032716,0.0032716,0.0032716
2,41.3433,1.84934,2.39435,2.14244,0.36985,0.26909,0.22346,0.11992,2.12011,2.75002,2.39298,0.0065984,0.0065984,0.0065984
3,59.4176,1.75332,2.01371,2.03026,0.37016,0.34082,0.31415,0.14213,2.06862,2.71074,2.37313,0.00991859,0.00991859,0.00991859
4,77.563,1.71041,1.857,1.96485,0.40767,0.48517,0.41761,0.19633,1.86953,2.44819,2.21006,0.0099703,0.0099703,0.0099703
5,95.5906,1.69543,1.71342,1.94707,0.37505,0.43137,0.35912,0.17418,2.04153,2.4126,2.30818,0.0099604,0.0099604,0.0099604
6,113.633,1.64877,1.51473,1.88975,0.38853,0.48245,0.39452,0.19732,1.85647,1.98871,2.13279,0.0099505,0.0099505,0.0099505
7,131.65,1.60429,1.44608,1.87412,0.49665,0.56587,0.57347,0.29345,1.77042,1.59852,2.06366,0.0099406,0.0099406,0.0099406
8,149.672,1.57618,1.34454,1.8353,0.54155,0.61329,0.60374,0.27651,1.91204,1.39239,2.18083,0.0099307,0.0099307,0.0099307
9,167.675,1.54505,1.28656,1.80629,0.55205,0.63077,0.57922,0.29812,1.72332,1.43712,1.99508,0.0099208,0.0099208,0.0099208
10,185.757,1.53341,1.23279,1.78682,0.58824,0.68472,0.63533,0.30604,1.80433,1.3256,2.08538,0.0099109,0.0099109,0.0099109
11,203.771,1.51806,1.19057,1.78127,0.67913,0.6288,0.66491,0.34666,1.73376,1.38939,2.01046,0.009901,0.009901,0.009901
12,222.324,1.49713,1.14427,1.76739,0.69236,0.76928,0.7817,0.41802,1.64429,1.03762,1.86662,0.0098911,0.0098911,0.0098911
13,240.384,1.47432,1.10414,1.74304,0.60714,0.59458,0.59547,0.31618,1.74972,1.48386,1.99257,0.0098812,0.0098812,0.0098812
14,258.358,1.4583,1.07758,1.72839,0.66241,0.75263,0.75962,0.413,1.60507,1.02855,1.84042,0.0098713,0.0098713,0.0098713
15,276.291,1.44151,1.03852,1.71335,0.6958,0.73515,0.74866,0.41347,1.58128,1.0524,1.8466,0.0098614,0.0098614,0.0098614
16,294.239,1.43389,1.02606,1.69359,0.67639,0.74624,0.76378,0.41548,1.60171,1.06286,1.86228,0.0098515,0.0098515,0.0098515
17,312.175,1.41077,0.99325,1.67922,0.82466,0.78428,0.82671,0.47335,1.54624,0.89451,1.80092,0.0098416,0.0098416,0.0098416
18,330.16,1.39928,0.99637,1.67249,0.6147,0.67997,0.65929,0.34914,1.65628,1.25152,1.92137,0.0098317,0.0098317,0.0098317
19,348.068,1.37651,0.97951,1.6598,0.76183,0.78345,0.83783,0.46825,1.55868,0.91073,1.79135,0.0098218,0.0098218,0.0098218
20,365.992,1.38118,0.94941,1.64319,0.73186,0.74489,0.76992,0.41312,1.63939,1.08286,1.87565,0.0098119,0.0098119,0.0098119
21,383.903,1.37198,0.95362,1.64469,0.79944,0.78969,0.82126,0.47323,1.52506,0.90977,1.76938,0.009802,0.009802,0.009802
22,401.809,1.33749,0.90225,1.61182,0.76971,0.66662,0.72883,0.39721,1.59666,1.2614,1.85533,0.0097921,0.0097921,0.0097921
23,419.701,1.34428,0.91181,1.62587,0.80239,0.80255,0.84228,0.4803,1.52215,0.8421,1.79251,0.0097822,0.0097822,0.0097822
24,437.64,1.32406,0.90373,1.60509,0.72231,0.69051,0.73753,0.40793,1.5532,1.12218,1.81088,0.0097723,0.0097723,0.0097723
25,455.672,1.3212,0.89831,1.60283,0.61718,0.62208,0.63541,0.35696,1.65484,1.41125,1.91796,0.0097624,0.0097624,0.0097624
26,473.595,1.31363,0.88903,1.59677,0.78919,0.73051,0.78724,0.44138,1.61393,0.97789,1.85802,0.0097525,0.0097525,0.0097525
27,491.473,1.29634,0.87684,1.58845,0.78881,0.81168,0.84649,0.48925,1.47621,0.85145,1.74694,0.0097426,0.0097426,0.0097426
28,509.393,1.28788,0.8537,1.5658,0.84404,0.77206,0.84176,0.49951,1.45919,0.81311,1.71584,0.0097327,0.0097327,0.0097327
29,527.31,1.26816,0.84556,1.56156,0.8228,0.78962,0.83714,0.48832,1.50058,0.84859,1.79982,0.0097228,0.0097228,0.0097228
30,545.211,1.26986,0.84211,1.55351,0.79525,0.7543,0.80743,0.45689,1.51831,0.985,1.77376,0.0097129,0.0097129,0.0097129
31,563.071,1.27147,0.8484,1.56049,0.74964,0.72835,0.78712,0.45248,1.52756,0.99998,1.76246,0.009703,0.009703,0.009703
32,581.055,1.25188,0.82727,1.54789,0.7905,0.77965,0.81405,0.46397,1.56246,0.89078,1.79971,0.0096931,0.0096931,0.0096931
33,599.032,1.23209,0.81265,1.52365,0.68232,0.59507,0.65648,0.36274,1.63596,1.32339,1.92097,0.0096832,0.0096832,0.0096832
34,617.031,1.23324,0.80266,1.52365,0.81482,0.78612,0.83337,0.4917,1.47441,0.81191,1.73587,0.0096733,0.0096733,0.0096733
