epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9158,3.13992,7.65049,5.84518,4.21359,0.00276,0.82927,0.00417,0.0009,0.00228,0.68293,0.00321,0.00088,3.10904,5.03121,8.30053,4.00832,0.000661064,0.000661064,0.000661064
2,43.6507,3.12777,4.8084,5.02893,4.05094,0.00081,0.2439,0.00972,0.00156,0.00041,0.12195,0.00103,0.00014,4.09347,476.63,7.53103,26.636,0.00132335,0.00132335,0.00132335
3,62.3711,3.0097,4.20212,4.61139,3.7604,0.00057,0.17073,0.0007,0.00012,0.00081,0.2439,0.00088,0.00021,4.25327,234.927,8.76796,7.20599,0.00198123,0.00198123,0.00198123
4,81.1361,2.87135,3.99156,4.11549,3.53291,0.0026,0.78049,0.01305,0.00255,0.00285,0.85366,0.01787,0.00349,3.14818,30.9418,6.84488,4.12214,0.0019802,0.0019802,0.0019802
5,99.762,2.7546,3.60205,3.81483,3.41845,0.00357,0.95122,0.03521,0.00591,0.0046,0.95122,0.06548,0.01275,3.01126,9.15617,5.71854,3.69133,0.0019736,0.0019736,0.0019736
6,118.273,2.72388,3.37765,3.59477,3.35879,0.02179,0.80488,0.04497,0.00928,0.0214,0.78049,0.13487,0.03695,2.79508,3.39882,5.04666,3.57704,0.001967,0.001967,0.001967
7,136.864,2.66409,3.04323,3.33475,3.30141,0.02391,0.31707,0.02608,0.00572,0.0531,0.30094,0.04735,0.00942,2.80055,5.78148,5.70622,3.60437,0.0019604,0.0019604,0.0019604
8,155.45,2.62957,2.94115,3.15024,3.26323,0.12846,0.19512,0.10765,0.02566,0.16333,0.26829,0.1474,0.0529,2.89968,6.80914,5.09459,3.61693,0.0019538,0.0019538,0.0019538
9,174.067,2.60906,2.7627,3.00629,3.20002,0.07481,0.39024,0.10135,0.0257,0.07948,0.41463,0.10778,0.03966,2.8578,7.54362,12.0736,3.63653,0.0019472,0.0019472,0.0019472
10,192.607,2.56587,2.58186,2.83494,3.13791,0.22101,0.41463,0.19364,0.04232,0.38151,0.63191,0.41018,0.13534,2.71904,2.51648,3.03821,3.50115,0.0019406,0.0019406,0.0019406
11,211.175,2.57624,2.62191,2.74084,3.14166,0.4314,0.46341,0.44581,0.11678,0.49017,0.5122,0.53138,0.24933,2.54545,3.91379,2.96695,3.23712,0.001934,0.001934,0.001934
12,229.881,2.49319,2.45752,2.56983,3.05735,0.15414,0.31707,0.15564,0.03771,0.12894,0.26829,0.12509,0.04953,2.80604,5.58726,3.03824,3.76278,0.0019274,0.0019274,0.0019274
13,248.672,2.47948,2.30791,2.29257,3.04485,0.4353,0.4878,0.43792,0.11116,0.45604,0.63389,0.56135,0.2441,2.65956,2.27793,2.54738,3.43989,0.0019208,0.0019208,0.0019208
14,267.515,2.46568,2.29508,2.33648,3.05732,0.31149,0.53659,0.41782,0.10814,0.47895,0.56098,0.6064,0.30273,2.63442,2.60457,3.64406,3.49771,0.0019142,0.0019142,0.0019142
15,286.153,2.38429,2.26847,2.17103,2.9995,0.58224,0.68293,0.64515,0.23445,0.64462,0.7561,0.71928,0.42128,2.18533,2.21874,1.87109,3.08966,0.0019076,0.0019076,0.0019076
16,304.758,2.36321,2.20453,2.10246,2.95611,0.3688,0.53659,0.4595,0.15457,0.30976,0.46341,0.38991,0.19498,2.30569,3.72501,2.01452,3.21987,0.001901,0.001901,0.001901
17,323.387,2.31058,2.03307,1.95524,2.88651,0.6058,0.65854,0.66155,0.22736,0.65665,0.68293,0.71508,0.47549,2.04112,1.74744,1.72154,3.03095,0.0018944,0.0018944,0.0018944
18,342.209,2.25872,2.03576,1.89541,2.83185,0.61945,0.80488,0.79736,0.23248,0.68319,0.84167,0.83295,0.49554,2.26756,1.8323,1.70477,3.09444,0.0018878,0.0018878,0.0018878
19,361.133,2.20183,2.08294,1.89346,2.82959,0.48043,0.87805,0.64185,0.26488,0.52726,0.82927,0.6525,0.44442,1.84055,1.68991,1.71275,2.8354,0.0018812,0.0018812,0.0018812
20,379.771,2.13299,1.88471,1.74706,2.7323,0.6477,0.76241,0.77429,0.3282,0.6884,0.80833,0.84615,0.57021,1.89441,1.88008,1.7075,2.8395,0.0018746,0.0018746,0.0018746
21,398.6,2.15902,1.98644,1.80205,2.75488,0.79162,0.87805,0.91055,0.40148,0.80458,0.90379,0.94231,0.61143,1.93483,2.04539,1.30415,2.88745,0.001868,0.001868,0.001868
22,417.188,2.05734,1.94518,1.7524,2.66415,0.52462,0.68293,0.60431,0.22075,0.53603,0.85366,0.66485,0.41037,2.02489,1.86242,1.81238,3.03102,0.0018614,0.0018614,0.0018614
23,435.793,2.04772,1.81046,1.65885,2.62969,0.68352,0.68293,0.78949,0.33487,0.68818,0.68293,0.78208,0.53266,1.80779,1.83072,1.49965,2.76483,0.0018548,0.0018548,0.0018548
24,454.364,2.05223,1.95007,1.68442,2.63305,0.71933,0.75022,0.77504,0.36254,0.78877,0.81982,0.88933,0.6038,1.77363,1.45408,1.36716,2.7204,0.0018482,0.0018482,0.0018482
25,472.923,1.99814,1.84444,1.61023,2.57514,0.75529,0.82927,0.89921,0.4307,0.75529,0.82927,0.89496,0.58129,1.81731,2.18518,1.26292,2.84833,0.0018416,0.0018416,0.0018416
26,491.475,2.06406,1.8149,1.6849,2.60906,0.83007,0.83409,0.91749,0.3938,0.85655,0.87387,0.9168,0.62443,1.63904,1.90627,1.40989,2.80482,0.001835,0.001835,0.001835
27,510.043,1.99791,1.81712,1.60546,2.57564,0.61623,0.87805,0.8079,0.37122,0.64567,0.92683,0.83182,0.5503,1.65034,1.38185,1.44488,2.8312,0.0018284,0.0018284,0.0018284
28,528.748,2.00359,1.77606,1.58009,2.5655,0.84874,0.87805,0.89065,0.43334,0.8889,0.87805,0.94365,0.6264,1.5764,1.5965,1.34379,2.58816,0.0018218,0.0018218,0.0018218
29,547.526,1.98782,1.82343,1.58291,2.5692,0.78239,0.87696,0.88872,0.39319,0.87351,0.90244,0.95466,0.6721,1.76286,1.44506,1.23217,2.6673,0.0018152,0.0018152,0.0018152
30,566.31,1.93362,1.70879,1.51595,2.51386,0.7587,0.95122,0.90343,0.45948,0.84217,0.91116,0.94346,0.64375,1.68222,1.36713,1.36896,2.73656,0.0018086,0.0018086,0.0018086
31,584.927,1.90287,1.68772,1.49117,2.46404,0.92153,0.78049,0.92472,0.47117,0.95187,0.80488,0.94704,0.70126,1.85267,1.31073,1.1444,2.75541,0.001802,0.001802,0.001802
32,603.62,1.83171,1.60913,1.46867,2.43909,0.72898,0.90244,0.8377,0.4556,0.78354,0.79473,0.91084,0.65344,1.63848,1.40589,1.15128,2.56709,0.0017954,0.0017954,0.0017954
33,622.173,1.79946,1.60928,1.41534,2.41163,0.79572,0.95122,0.93296,0.39148,0.82925,0.94768,0.93754,0.63421,1.98204,1.91816,1.20715,2.84103,0.0017888,0.0017888,0.0017888
34,640.757,1.83932,1.71373,1.41616,2.42001,0.85003,0.87805,0.93477,0.46293,0.85003,0.87805,0.93477,0.70541,1.73967,1.38334,1.04127,2.78844,0.0017822,0.0017822,0.0017822
35,659.456,1.72758,1.57318,1.38693,2.35525,0.73874,0.85366,0.88296,0.44984,0.74012,0.85366,0.91067,0.68655,1.69643,1.32195,1.20555,2.73713,0.0017756,0.0017756,0.0017756
36,678.059,1.76324,1.60831,1.40071,2.32934,0.85321,0.99251,0.96499,0.47479,0.85321,0.99251,0.96499,0.69118,1.72767,1.55509,1.18565,2.65955,0.001769,0.001769,0.001769
37,696.728,1.76659,1.53536,1.38592,2.35267,0.80879,0.7561,0.86021,0.4191,0.80879,0.7561,0.87536,0.59189,1.75416,1.64047,1.22193,2.70193,0.0017624,0.0017624,0.0017624
38,715.421,1.7788,1.59976,1.4118,2.35792,0.82657,0.93005,0.90754,0.40502,0.84825,0.95444,0.94327,0.70484,1.73894,1.12514,1.20354,2.61524,0.0017558,0.0017558,0.0017558
39,733.999,1.69624,1.52267,1.35687,2.28514,0.79467,0.80488,0.90151,0.48966,0.79467,0.80488,0.90151,0.67691,1.52616,1.31263,1.43446,2.42154,0.0017492,0.0017492,0.0017492
40,752.597,1.69025,1.52201,1.31265,2.2863,0.77043,0.90042,0.93856,0.49009,0.77043,0.90042,0.94888,0.7381,1.69151,1.04956,1.11813,2.66695,0.0017426,0.0017426,0.0017426
