epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55618,1.29578,6.2666,3.8011,0.06316,5.78807,0.00333,1,0.13397,0.07634,0.00327,0.98095,0.02614,0.00946,0.28351,5.60822,3.34808,0.01203,0,6e-05,6e-05,0.09406
2,3.94645,1.12044,4.70831,3.4258,0.05251,4.92509,0.01223,0.99048,0.60495,0.32939,0,0,0,0,0.80463,36.7593,3.00296,0.03697,0,0.000128713,0.000128713,0.0871287
3,5.42504,0.73447,1.54382,2.41637,0.03087,2.0191,0.01211,0.98095,0.38065,0.13293,0,0,0,0,1.74032,33.9979,2.89571,0.09054,0,0.00019604,0.00019604,0.080196
4,6.82084,0.75451,1.23633,2.0536,0.03334,1.47847,0.01223,0.99048,0.44529,0.15749,0.00035,0.02857,0.00029,3e-05,1.47832,19.9725,2.8465,0.07298,0,0.000261981,0.000261981,0.073262
5,8.3439,0.72905,0.90769,1.63808,0.03354,1.18044,0.01235,1,0.64361,0.39052,0.01141,0.92381,0.65932,0.32826,1.06457,4.37,2.68571,0.04996,0,0.000326536,0.000326536,0.0663265
6,9.78577,0.88744,1.06823,1.3669,0.03973,1.51681,0.01235,1,0.74225,0.51723,0.01223,0.99048,0.73753,0.41316,0.8436,2.37585,2.48757,0.03904,0,0.000389705,0.000389705,0.0593897
7,11.2456,0.73729,0.86531,1.06967,0.03319,1.24005,0.01235,1,0.6996,0.59482,0.01235,1,0.69473,0.38536,0.61676,2.75716,2.27895,0.02807,0,0.000451488,0.000451488,0.0524515
8,12.6872,0.77138,0.86178,0.89646,0.033,1.04646,0.01235,1,0.72547,0.61067,0.01235,1,0.72547,0.45831,0.61065,1.66014,2.32213,0.02641,0,0.000511885,0.000511885,0.0455119
9,14.1606,0.76452,0.78013,0.79224,0.03422,1.12797,0.09028,1,0.8037,0.6989,0.09028,1,0.8037,0.5317,0.60441,1.93629,2.01554,0.02706,0,0.000570896,0.000570896,0.0385709
10,15.7054,0.77527,0.69773,0.74318,0.03305,0.97861,0.52518,0.93333,0.86832,0.73631,0.51446,0.91429,0.85873,0.51248,0.71308,2.02211,1.81847,0.03273,0,0.000628521,0.000628521,0.0316285
