epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9231,3.14005,9.31956,6.22909,4.29675,0.00215,0.64516,0.00218,0.00071,0.0029,0.87097,0.00294,0.00083,3.10741,5.14876,8.56591,4.16346,0.000654762,0.000654762,0.000654762
2,24.0457,3.19354,5.29866,5.79793,4.1779,0.00215,0.64516,0.00216,0.0007,0.0029,0.87097,0.0029,0.0008,3.09759,5.10396,8.446,4.15687,0.00131707,0.00131707,0.00131707
3,33.1612,3.24443,4.60291,5.43148,4.10746,0.00237,0.70968,0.00511,0.00131,0.00247,0.74194,0.00536,0.00131,3.06725,4.58722,7.29889,4.15543,0.00197497,0.00197497,0.00197497
4,42.1283,3.07741,4.20308,5.00078,3.95257,0.00537,0.09677,0.00529,0.00132,0.00397,0.12903,0.00117,0.00018,2.95923,249.47,6.05499,13.1918,0.0019802,0.0019802,0.0019802
5,50.9886,3.02682,3.95302,4.86709,3.79357,0.07808,0.12903,0.03571,0.00934,0.18733,0.16129,0.07714,0.01657,2.82086,42.5507,5.25496,7.1273,0.0019736,0.0019736,0.0019736
6,59.9496,2.95755,3.61314,4.68118,3.71663,0.00905,0.25806,0.01367,0.00338,0.01777,0.19355,0.0281,0.00484,2.88286,11.3315,7.16187,3.83736,0.001967,0.001967,0.001967
7,68.9837,2.83235,3.64384,4.40592,3.56323,0.04687,0.06452,0.05593,0.01073,0.10305,0.25806,0.12726,0.0249,3.35036,11.7181,14.6065,4.99669,0.0019604,0.0019604,0.0019604
8,78.1172,2.79373,3.49364,4.19518,3.51757,0.08401,0.77419,0.1713,0.05232,0.04066,0.74194,0.23292,0.06632,2.345,5.33221,4.3774,3.93995,0.0019538,0.0019538,0.0019538
9,87.217,2.763,3.39205,4.06401,3.47997,0.02815,0.93548,0.17846,0.03876,0.0233,0.77419,0.18439,0.03464,2.43729,4.5549,4.2977,3.61619,0.0019472,0.0019472,0.0019472
10,96.3471,2.72615,3.33298,3.78056,3.3822,0.08109,0.41935,0.18211,0.04078,0.08733,0.45161,0.15447,0.04035,2.48377,4.02978,4.50442,3.78481,0.0019406,0.0019406,0.0019406
11,105.484,2.62946,3.23532,3.70301,3.34918,0.04824,0.70968,0.0924,0.02159,0.07574,0.77419,0.20253,0.05219,2.47947,3.40031,4.5953,3.58064,0.001934,0.001934,0.001934
12,114.636,2.72619,3.29674,3.68945,3.40465,0.04829,0.48387,0.10459,0.02425,0.05253,0.35484,0.08293,0.02274,2.51299,4.93271,4.29115,3.61212,0.0019274,0.0019274,0.0019274
13,123.551,2.64457,3.08244,3.46428,3.32377,0.05894,0.29032,0.05701,0.01219,0.07357,0.32258,0.07427,0.01889,2.67888,3.91176,3.60555,3.66355,0.0019208,0.0019208,0.0019208
14,132.475,2.69205,3.0268,3.42183,3.36261,0.0821,0.58065,0.10399,0.02508,0.12543,0.58065,0.16865,0.04095,2.47339,3.56722,3.92011,3.52797,0.0019142,0.0019142,0.0019142
15,141.412,2.6379,2.99782,3.29211,3.32447,0.10117,0.45161,0.12215,0.02868,0.11562,0.51613,0.17296,0.0509,2.43183,3.46786,3.6816,3.45951,0.0019076,0.0019076,0.0019076
16,150.329,2.56841,2.70492,3.10003,3.21844,0.12293,0.54839,0.12528,0.03604,0.1157,0.51613,0.12888,0.04779,2.5001,4.50379,4.43649,3.50094,0.001901,0.001901,0.001901
17,159.234,2.56038,2.63513,3.07687,3.23979,0.05897,0.70968,0.07337,0.0196,0.06434,0.77419,0.09888,0.02979,2.50227,4.12424,4.88149,3.47638,0.0018944,0.0018944,0.0018944
18,168.203,2.55858,2.59227,3.08713,3.23445,0.2288,0.77419,0.27553,0.07815,0.24982,0.83871,0.29875,0.12751,2.31446,2.59006,3.92943,3.37974,0.0018878,0.0018878,0.0018878
19,177.19,2.55797,2.48708,2.98908,3.21944,0.14839,0.68013,0.18685,0.05003,0.20112,0.51613,0.21899,0.09684,2.31271,2.6026,3.52075,3.36506,0.0018812,0.0018812,0.0018812
20,186.198,2.52189,2.47003,2.91656,3.17278,0.1485,0.74194,0.24191,0.08116,0.17653,0.83871,0.3349,0.11655,2.40124,2.74285,3.56623,3.36453,0.0018746,0.0018746,0.0018746
21,195.161,2.50044,2.46542,2.89992,3.13227,0.15693,0.58065,0.29359,0.09903,0.17437,0.64516,0.35156,0.10351,2.38902,3.01743,3.27589,3.35062,0.001868,0.001868,0.001868
22,204.162,2.42515,2.3401,2.86349,3.1379,0.10304,0.12903,0.05962,0.01001,0.07961,0.12903,0.07824,0.02456,2.78302,3.98512,4.42652,3.6368,0.0018614,0.0018614,0.0018614
23,213.151,2.58837,2.30551,2.84286,3.16615,0.18427,0.67742,0.36306,0.09136,0.25447,0.93548,0.54198,0.27924,2.32207,2.24753,3.74102,3.63096,0.0018548,0.0018548,0.0018548
24,222.235,2.44619,2.23968,2.6841,3.09652,0.32321,0.57012,0.32341,0.09078,0.35915,0.56058,0.41255,0.17682,2.28601,2.19835,2.8846,3.43584,0.0018482,0.0018482,0.0018482
25,231.371,2.41313,2.11175,2.66941,3.02765,0.31897,0.70968,0.41677,0.12,0.34962,0.67742,0.49745,0.26936,2.12514,1.70807,3.13127,3.22864,0.0018416,0.0018416,0.0018416
26,240.401,2.40207,2.22958,2.67317,3.03226,0.33699,0.64516,0.43638,0.13322,0.39602,0.67742,0.52548,0.28039,2.09222,1.69218,2.46796,3.20965,0.001835,0.001835,0.001835
27,249.382,2.38102,2.20127,2.50271,2.96415,0.251,0.45161,0.23449,0.08458,0.32272,0.58065,0.30308,0.15861,2.07724,1.80915,2.54714,3.18865,0.0018284,0.0018284,0.0018284
28,258.4,2.39555,2.22001,2.53144,2.96769,0.37657,0.64516,0.4396,0.14597,0.33073,0.58065,0.3931,0.15348,2.10117,2.90214,2.89926,3.15214,0.0018218,0.0018218,0.0018218
29,267.392,2.36594,1.98854,2.37837,2.93167,0.35784,0.64516,0.39583,0.16389,0.43647,0.80645,0.46932,0.26855,2.11165,1.86731,3.21665,3.23468,0.0018152,0.0018152,0.0018152
30,276.422,2.31527,2.09778,2.26114,2.91807,0.3852,0.74789,0.4708,0.14046,0.45067,0.83871,0.58884,0.32129,2.24744,1.56252,2.39174,3.33856,0.0018086,0.0018086,0.0018086
31,285.462,2.27986,1.93831,2.27427,2.87877,0.33621,0.67742,0.39224,0.14884,0.36716,0.6129,0.44938,0.28392,2.083,1.56596,2.22085,3.15811,0.001802,0.001802,0.001802
32,294.505,2.37962,1.91669,2.17593,2.81927,0.50668,0.5966,0.57048,0.21221,0.54513,0.67742,0.64475,0.3716,2.29191,1.92277,1.98119,3.31916,0.0017954,0.0017954,0.0017954
33,303.492,2.37942,2.00136,2.13549,2.87108,0.43242,0.64516,0.51885,0.19464,0.50975,0.80502,0.58698,0.29784,2.16074,2.14902,2.07257,3.17596,0.0017888,0.0017888,0.0017888
34,312.481,2.3292,2.08477,2.13863,2.88275,0.41858,0.64516,0.60379,0.22831,0.55104,0.74194,0.66502,0.34708,2.18147,1.82927,2.20154,3.17041,0.0017822,0.0017822,0.0017822
35,321.424,2.34864,1.99447,2.11501,2.89098,0.44423,0.69634,0.51708,0.12554,0.48796,0.76863,0.59729,0.2899,2.45386,1.83319,1.98459,3.40691,0.0017756,0.0017756,0.0017756
36,330.415,2.33153,1.97385,1.95579,2.85304,0.38204,0.54839,0.35866,0.13033,0.43057,0.6129,0.48801,0.25347,2.10434,2.52026,2.10438,3.22325,0.001769,0.001769,0.001769
